pid,Price,tid,Sale_Year,Home_Size,Parcel_Size,Beds,Age,Pool_Val,CBD_DIST,X_Coordinate,Y_Coordinate
242,243.019,8452,2004,2162,5500,3,2,1,20806.2,602671.7,1523274.0
246,793.832,3024,2000,4504,20499,4,0,1,18090.42,483502.2,1501268.0
247,329.278,8865,2004,2812,11967,4,3,1,20521.17,602075.1,1527235.0
248,268.835,2188,2002,3205,17211,5,0,1,24857.9,615894.3,1540334.0
249,187.078,274,2001,2577,5500,4,3,1,19605.06,599112.2,1528160.0
250,249.022,8817,2004,2276,8252,4,4,0,14860.64,486791.8,1539489.0
251,230.374,1951,2003,2168,6425,4,0,0,16424.52,481214.7,1525587.0
252,127.167,185,2003,1166,12053,3,24,1,8025.37,526372.3,1556039.0
253,138.282,5726,2003,1671,23248,3,0,0,11559.62,501573.4,1549352.0
254,78.24,7086,2002,1199,8607,3,39,0,9193.89,529618.9,1501378.0
255,145.095,5910,2001,2075,5704,4,0,0,13658.69,490438.4,1537286.0
256,183.392,302,2002,2280,8621,3,0,0,14477.86,492072.3,1551809.0
258,350.704,6577,2003,2140,29281,3,31,0,6358.71,537346.6,1510380.0
260,602.311,5924,2002,2798,14968,5,14,1,8063.29,541165.4,1556793.0
263,79.996,2371,2001,1298,8245,4,26,0,8515.42,513631.1,1549302.0
264,116.516,1911,2001,1340,5881,2,33,0,9367.2,538224.0,1561653.0
265,88.142,43,2005,1270,3631,4,8,0,5211.83,518300.5,1535473.0
266,184.286,2808,2002,1829,10611,4,22,0,4790.53,548639.9,1538624.0
267,92.06,7697,2000,1476,10171,3,41,0,8889.28,562569.8,1540153.0
273,368.132,5780,2002,3463,14088,5,5,1,13384.32,492133.4,1520802.0
274,137.695,6073,2003,1400,6050,3,0,0,12829.2,569717.8,1507532.0
275,89.834,6459,2001,1422,10418,3,45,0,9013.4,562898.6,1540456.0
277,187.2,6540,2003,2232,14978,4,0,0,24092.54,483829.6,1591519.0
278,126.816,8635,2001,1877,5254,4,2,0,20379.33,598263.2,1552323.0
279,167.383,8036,2004,1691,5622,3,0,0,21126.19,604058.8,1535055.0
281,157.103,5682,2001,1713,7654,3,0,0,19081.35,472258.5,1528692.0
282,222.277,6930,2003,1892,12056,3,16,0,13348.98,501577.4,1502581.0
285,112.53,8400,2003,1420,16610,2,4,0,19875.42,507772.4,1590448.0
286,357.065,4788,2004,2380,6137,3,0,0,4856.21,547927.8,1540189.0
